Track_Name,Track_ID,Added_On,Release_Date,Artists,Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
How You Love Me,0A1y3d5O3SDvXaQ8snkmOf,2019-06-29T05:00:52Z,2014-01-01,3LAU,49,210468,0.496,0.789,1,-3.648,1,0.0839,0.183,0.0,0.34,0.286,127.961
All Falls Down (feat. Juliander),5yFSF6qQA1rcLsQRnBsZgb,2019-06-24T17:19:54Z,2017-10-27,"Alan Walker,Noah Cyrus,Digital Farm Animals",66,199111,0.658,0.678,1,-4.407,1,0.058,0.303,0.0,0.361,0.662,97.976
Let You Go,6JflMse23AqmddXJnGiEVJ,2019-06-24T17:08:10Z,2018-01-05,Nightcall,1,181101,0.755,0.769,10,-5.569,1,0.0399,0.163,0.00402,0.36,0.416,114.011
The Ocean (feat. Shy Martin),2CPqh63wRVscbceKcPxwvv,2019-06-24T17:05:42Z,2016-04-15,Mike Perry,73,183414,0.632,0.575,5,-6.478,1,0.029,0.0225,1.81e-06,0.104,0.188,90.037
When I Grow Up (feat. Wiz Khalifa),3LK452TFyApuFN9jjg3THO,2019-06-14T17:20:33Z,2018-06-22,"Dimitri Vegas & Like Mike,Dimitri Vegas",57,195506,0.642,0.655,1,-5.222,0,0.0489,0.0268,0.0,0.112,0.156,80.997
What I Like About You (feat. Theresa Rex),4NSW0Km5ZG60L8FthUebPJ,2019-06-11T03:44:07Z,2019-03-22,"Jonas Blue,Theresa Rex",68,220396,0.46,0.8,1,-3.584,1,0.05,0.289,6.16e-06,0.121,0.553,102.46
Dreamer,0RTzJVkunbGwuRjXDFHnjf,2019-06-11T03:43:58Z,2017-07-28,"Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso",67,251147,0.627,0.847,10,-5.303,1,0.0352,0.0237,0.0,0.212,0.611,126.017
Don't You Worry Child - Radio Edit,2V65y3PX4DkRhy1djlxd9p,2019-06-11T03:43:52Z,2012-09-14,Swedish House Mafia,78,212862,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042
New Rules,2Nu1tX9IlRMx0ztmv8vr3r,2019-06-11T03:37:17Z,2018-06-14,Various Artists,0,212000,0.763,0.72,9,-5.181,0,0.0691,0.00261,1.11e-05,0.114,0.592,116.01
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,2019-06-11T03:36:44Z,2017-01-27,"Martin Garrix,Dua Lipa",78,220883,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972
Paris,15vzANxN8G9wWfwAJLLMCg,2019-06-11T03:36:31Z,2017-01-13,The Chainsmokers,70,221520,0.646,0.644,2,-6.763,1,0.031,0.0243,0.0,0.0888,0.251,99.999
Faded,698ItKASDavgwZ3WjaWjtz,2019-06-11T03:36:21Z,2018-12-14,Alan Walker,78,212106,0.468,0.627,6,-5.085,1,0.0476,0.0281,7.97e-06,0.11,0.159,179.642
Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,2019-06-11T03:36:05Z,2018-06-15,"Martin Garrix,Khalid",70,216419,0.506,0.693,0,-7.265,0,0.0412,0.584,9.58e-05,0.0891,0.221,139.912
Alone,3LlmKSHR3Rs0Y3KHQLAYDk,2019-06-11T03:35:14Z,2018-12-14,Alan Walker,73,160426,0.673,0.914,10,-3.962,1,0.0496,0.229,0.000478,0.186,0.183,97.021
Rise,3u1S1OmAUhx5DRlLrXqyp3,2019-06-11T03:35:11Z,2018-05-25,"Jonas Blue,Jack & Jack",71,194407,0.69,0.784,1,-4.653,1,0.032,0.323,0.0,0.203,0.669,106.066
Sunrise (feat. Jason Walker),4ODnJrz0C3AJ4DFv8YQhJ8,2019-06-11T03:34:33Z,2017-11-03,Kygo,64,214826,0.636,0.6,6,-6.964,1,0.0288,0.211,0.0,0.141,0.476,100.051
Remind Me to Forget,5sIx4BlfYGuZeSLF40N9GH,2019-06-11T03:34:26Z,2018-03-16,"Kygo,Miguel",69,217286,0.685,0.508,0,-6.4,1,0.0987,0.193,0.0,0.139,0.315,99.063
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,2019-06-11T03:34:23Z,2017-02-16,"Kygo,Selena Gomez",76,220780,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968
